word, event, baseline, diff
open,0.0431,0.0444,-0.0013
great,0.0431,0.1235,-0.0804
live,0.0431,0.0334,0.0097
tried,0.0431,0.0208,0.0223
pay,0.0431,0.0370,0.0062
students,0.0431,0.0279,0.0153
23,0.0431,0.0063,0.0369
white,0.0431,0.0446,-0.0015
long,0.0431,0.1154,-0.0723
thames,0.0431,0.0003,0.0428
second,0.0425,0.0544,-0.0119
st,0.0425,0.0008,0.0416
teacher,0.0425,0.0104,0.0321
heart,0.0425,0.0246,0.0178
station,0.0425,0.0126,0.0299
stop,0.0425,0.0218,0.0207
something,0.0425,0.0559,-0.0135
june,0.0425,0.0154,0.0271
data,0.0418,0.0190,0.0228
david,0.0418,0.0062,0.0356
order,0.0418,0.0504,-0.0086
page,0.0418,0.0081,0.0337
24,0.0418,0.0061,0.0357
given,0.0418,0.0483,-0.0065
stopped,0.0411,0.0166,0.0245
syria,0.0411,0.0005,0.0406
stabbing,0.0411,0.0001,0.0410
thank,0.0411,0.0186,0.0224
although,0.0411,0.0361,0.0049
already,0.0411,0.0485,-0.0074
communities,0.0411,0.0174,0.0237
english,0.0411,0.0213,0.0198
current,0.0404,0.0188,0.0217
condition,0.0404,0.0113,0.0291
colleagues,0.0404,0.0038,0.0366
inspired,0.0404,0.0030,0.0374
father,0.0404,0.0204,0.0200
responsibility,0.0404,0.0349,0.0055
recent,0.0397,0.0278,0.0120
forces,0.0397,0.0439,-0.0042
friend,0.0397,0.0162,0.0235
using,0.0397,0.0180,0.0217
rudd,0.0397,0.0001,0.0396
policing,0.0397,0.0010,0.0387
ongoing,0.0397,0.0005,0.0392
eight,0.0397,0.0129,0.0268
russell,0.0397,0.0017,0.0380
worked,0.0390,0.0191,0.0200
connection,0.0390,0.0086,0.0304
allow,0.0390,0.0120,0.0270
deeply,0.0390,0.0066,0.0324
article,0.0390,0.0072,0.0318
front,0.0390,0.0249,0.0141
preparation,0.0390,0.0066,0.0324
understand,0.0390,0.0190,0.0201
50,0.0390,0.0145,0.0246
jeremy,0.0390,0.0001,0.0389
november,0.0383,0.0091,0.0292
offences,0.0383,0.0001,0.0382
yet,0.0383,0.0613,-0.0229
different,0.0383,0.0392,-0.0008
running,0.0383,0.0145,0.0239
please,0.0383,0.0088,0.0295
quickly,0.0383,0.0134,0.0249
difficult,0.0383,0.0228,0.0155
young,0.0377,0.0530,-0.0153
condolences,0.0377,0.0003,0.0373
sadiq,0.0377,0.0000,0.0377
remember,0.0377,0.0220,0.0157
living,0.0377,0.0349,0.0028
politicians,0.0377,0.0022,0.0355
critical,0.0377,0.0111,0.0266
violence,0.0377,0.0106,0.0271
meeting,0.0377,0.0229,0.0147
understood,0.0377,0.0068,0.0309
july,0.0377,0.0094,0.0282
sense,0.0370,0.0408,-0.0038
subject,0.0370,0.0198,0.0172
france,0.0370,0.0091,0.0279
general,0.0370,0.0637,-0.0267
share,0.0370,0.0229,0.0140
taking,0.0370,0.0238,0.0132
looked,0.0370,0.0400,-0.0030
set,0.0363,0.0548,-0.0185
move,0.0363,0.0314,0.0049
searches,0.0363,0.0003,0.0360
anniversary,0.0363,0.0032,0.0330
received,0.0363,0.0199,0.0164
fight,0.0363,0.0218,0.0145
conservative,0.0363,0.0039,0.0324
able,0.0363,0.0353,0.0010
policy,0.0363,0.0480,-0.0117
find,0.0363,0.0527,-0.0164
mowed,0.0363,0.0001,0.0362
