word, event, baseline, diff
safety,0.1176,0.0336,0.0840
channel,0.1143,0.0779,0.0364
alone,0.1136,0.0635,0.0502
air,0.1136,0.1172,-0.0035
isis,0.1116,0.0002,0.1114
year,0.1116,0.2070,-0.0953
began,0.1116,0.1443,-0.0327
using,0.1116,0.1270,-0.0154
mr,0.1110,0.1022,0.0087
five,0.1110,0.0753,0.0357
details,0.1089,0.0963,0.0127
group,0.1076,0.0492,0.0584
capital,0.1076,0.1703,-0.0627
hours,0.1076,0.0488,0.0589
searches,0.1069,0.1235,-0.0166
society,0.1063,0.1389,-0.0326
theresa,0.1056,0.0028,0.1028
yard,0.1056,0.0415,0.0642
vehicle,0.1049,0.0039,0.1010
22,0.1049,0.0070,0.0979
thoughts,0.1043,0.1361,-0.0318
stabbed,0.1023,0.0103,0.0920
square,0.1016,0.0576,0.0440
knife,0.1009,0.0122,0.0887
morning,0.0996,0.0294,0.0702
much,0.0996,0.1771,-0.0775
across,0.0989,0.0397,0.0592
custody,0.0976,0.0626,0.0349
use,0.0976,0.2057,-0.1081
response,0.0969,0.0534,0.0435
lost,0.0969,0.0819,0.0150
staff,0.0962,0.0210,0.0753
another,0.0956,0.0860,0.0096
yesterday,0.0949,0.0103,0.0846
islam,0.0949,0.0012,0.0937
school,0.0949,0.0839,0.0110
trump,0.0942,0.0648,0.0294
died,0.0929,0.1419,-0.0490
together,0.0916,0.0650,0.0266
english,0.0916,0.0656,0.0259
intelligence,0.0909,0.0407,0.0502
south,0.0889,0.0341,0.0547
happened,0.0889,0.1139,-0.0250
central,0.0876,0.0572,0.0304
senior,0.0876,0.0261,0.0614
killing,0.0869,0.0186,0.0683
least,0.0862,0.0406,0.0456
several,0.0856,0.0706,0.0150
leader,0.0849,0.0116,0.0733
always,0.0842,0.1358,-0.0516
connection,0.0842,0.0284,0.0558
road,0.0836,0.0294,0.0541
condition,0.0836,0.0935,-0.0099
adrian,0.0822,0.0006,0.0816
night,0.0815,0.0669,0.0147
must,0.0802,0.2660,-0.1858
claimed,0.0802,0.1037,-0.0235
released,0.0795,0.1454,-0.0659
message,0.0789,0.0294,0.0495
commissioner,0.0775,0.0021,0.0755
pay,0.0769,0.1502,-0.0733
mp,0.0755,0.0000,0.0755
labour,0.0755,0.0568,0.0188
preparation,0.0755,0.0687,0.0068
normal,0.0742,0.0508,0.0234
west,0.0715,0.0316,0.0399
friends,0.0715,0.0235,0.0481
friend,0.0715,0.0235,0.0481
east,0.0709,0.0373,0.0335
action,0.0709,0.1067,-0.0358
actions,0.0709,0.1067,-0.0358
