word, event, baseline, diff
food,0.0709,0.0252,0.0457
delaware,0.0703,0.0161,0.0541
management,0.0697,0.0391,0.0306
hundreds,0.0697,0.0905,-0.0208
county,0.0691,0.0164,0.0528
satellite,0.0691,0.0058,0.0634
noaa,0.0685,0.0000,0.0685
connecticut,0.0685,0.0019,0.0667
september,0.0685,0.0111,0.0574
original,0.0685,0.0257,0.0428
southern,0.0679,0.0151,0.0528
mid-atlantic,0.0674,0.0001,0.0673
27,0.0674,0.0044,0.0629
click,0.0656,0.0172,0.0484
maryland,0.0656,0.0027,0.0629
trees,0.0650,0.0191,0.0459
tree,0.0650,0.0191,0.0459
within,0.0644,0.0697,-0.0053
please,0.0638,0.0117,0.0521
photo,0.0638,0.0240,0.0399
photos,0.0638,0.0240,0.0399
blog,0.0633,0.0000,0.0633
haiti,0.0627,0.0006,0.0621
25,0.0615,0.0167,0.0448
less,0.0609,0.0625,-0.0016
ago,0.0592,0.0471,0.0120
nasa,0.0592,0.0005,0.0586
9,0.0592,0.0208,0.0384
especially,0.0592,0.0462,0.0130
updated,0.0586,0.0005,0.0581
update,0.0586,0.0005,0.0581
26,0.0586,0.0041,0.0545
queens,0.0586,0.0181,0.0405
10,0.0586,0.0636,-0.0050
updates,0.0586,0.0005,0.0581
percent,0.0580,0.0413,0.0166
ice,0.0580,0.0180,0.0400
schools,0.0580,0.0839,-0.0259
american,0.0574,0.1395,-0.0821
announced,0.0574,0.0195,0.0379
pennsylvania,0.0568,0.0085,0.0483
michael,0.0562,0.0015,0.0547
rights,0.0556,0.1030,-0.0473
maximum,0.0551,0.0138,0.0413
massive,0.0551,0.0078,0.0472
february,0.0551,0.0076,0.0474
january,0.0551,0.0151,0.0399
12,0.0551,0.0280,0.0271
error,0.0539,0.0124,0.0414
police,0.0533,0.0759,-0.0226
governor,0.0527,0.0108,0.0419
threat,0.0527,0.0281,0.0246
50,0.0521,0.0239,0.0283
cyclone,0.0515,0.0001,0.0514
a.m.,0.0515,0.0041,0.0474
bus,0.0515,0.0088,0.0427
friday,0.0515,0.0063,0.0453
battery,0.0510,0.0029,0.0481
11,0.0510,0.0134,0.0376
flights,0.0510,0.0190,0.0319
communities,0.0504,0.0435,0.0069
community,0.0504,0.0435,0.0069
season,0.0504,0.0153,0.0350
electricity,0.0498,0.0033,0.0465
31,0.0498,0.0059,0.0439
though,0.0492,0.0490,0.0002
cold,0.0492,0.0275,0.0217
tunnels,0.0486,0.0016,0.0470
tunnel,0.0486,0.0016,0.0470
thursday,0.0474,0.0040,0.0434
april,0.0474,0.0093,0.0382
24,0.0469,0.0074,0.0394
20,0.0469,0.0260,0.0208
scientific,0.0457,0.0123,0.0333
university,0.0451,0.0223,0.0228
fema,0.0445,0.0002,0.0443
coastline,0.0433,0.0001,0.0432
canada,0.0433,0.0048,0.0385
hospital,0.0433,0.0151,0.0282
15,0.0433,0.0240,0.0194
16,0.0428,0.0107,0.0321
shelters,0.0422,0.0242,0.0180
extreme,0.0422,0.0093,0.0329
december,0.0422,0.0081,0.0340
daily,0.0422,0.0192,0.0229
